context,activities
"In the last 4 seconds, the user Bob was in an outdoor location at school, where he was within an area with a diameter of less than 50 meters, moving at a speed ranging from less than 1 km/h to 4 km/h, Bob was not following a public transportation route","['BICYCLING', 'WALKING']"
"In the last 4 seconds, the user Bob was in an outdoor location at the workplace, where he was within an area with a diameter of less than 50 meters, weather still or moving at a speed of less than 1 km/h, Bob was not following a public transportation route","['BICYCLING', 'LAYING_DOWN', 'SITTING', 'STANDING', 'WALKING']"
"In the last 4 seconds, the user Bob was within an area with a diameter of less than 50 meters, weather still or moving at a speed of less than 1 km/h, Bob was following a public transportation route","['ON_TRANSPORT']"
"In the last 4 seconds, the user Bob was doing shopping, where he was within an area with a diameter of less than 50 meters, weather still or moving at a speed of less than 1 km/h, Bob was not following a public transportation route","['SITTING', 'STANDING', 'WALKING']"
"In the last 4 seconds, the user Bob was in an indoor location at the bar, where he was within an area with a diameter of less than 50 meters, weather still or moving at a speed of less than 1 km/h, Bob was not following a public transportation route","['SITTING', 'STANDING', 'WALKING']"
"In the last 4 seconds, the user Bob was within an area with a diameter of less than 50 meters, moving at a speed between 1 and 4 km/h, Bob was following a public transportation route","['ON_TRANSPORT']"
"In the last 4 seconds, the user Bob was in an outdoor location, where he was within an area with a diameter between 50 and 100 meters, moving at a speed ranging from less than 1 km/h to 4 km/h, Bob was not following a public transportation route","['BICYCLING', 'MOVING_BY_CAR', 'WALKING']"
"In the last 4 seconds, the user Bob was within an area with a diameter between 50 and 100 meters, weather still or moving at a speed of less than 1 km/h, Bob was not following a public transportation route","['BICYCLING', 'WALKING']"
"In the last 4 seconds, the user Bob was within an area with a diameter of less than 50 meters, moving at a speed between 1 and 4 km/h, Bob was not following a public transportation route","['BICYCLING', 'MOVING_BY_CAR', 'WALKING']"
"In the last 4 seconds, the user Bob was at school, where he was within an area with a diameter of less than 50 meters, moving at a speed ranging from less than 1 km/h to 4 km/h, Bob was not following a public transportation route","['BICYCLING', 'WALKING']"
"In the last 4 seconds, the user Bob was within an area with a diameter of less than 50 meters, moving at a speed ranging from less than 1 km/h to 4 km/h, Bob was not following a public transportation route","['BICYCLING', 'MOVING_BY_CAR', 'WALKING']"
"In the last 4 seconds, the user Bob was at home, where he was within an area with a diameter of less than 50 meters, weather still or moving at a speed of less than 1 km/h, Bob was not following a public transportation route","['BICYCLING', 'LAYING_DOWN', 'SITTING', 'STANDING', 'WALKING']"
